Date;Time;Title;Location;Description
2026-01-10;18:00;Jahreshauptversammlung;Vereinsheim;Berichte, Wahlen, Ausblick 2026
2026-02-07;18:30;Winterpokal Luftgewehr;Schießstand;Offener Wettbewerb für alle Mitglieder
2026-03-14;14:00;Frühjahrsputz;Vereinsgelände;Gemeinsame Reinigung und Instandhaltung
2026-03-21;18:00;Osterpokal;Schießstand;Mannschaftswettbewerb KK 50m
2026-04-04;10:00;Anschießen;Schießstand;Saisonstart mit Frühschoppen
2026-04-18;14:00;Jedermannschießen;Schießstand;Offenes Schießen für Gäste und Mitglieder
2026-05-01;10:00;Maifest;Vereinsheim;Frühschoppen mit Blasmusik
2026-05-16;09:00;Gemeindeschießen;Schießstand;Wettbewerb der Schneverdinger Vereine
2026-05-30;14:00;Kinderschützenfest;Vereinsgelände;Spielstationen und Lasergewehr
2026-06-13;08:00;Schützenfest Tag 1;Festplatz;Festumzug und Königsschießen
2026-06-14;10:00;Schützenfest Tag 2;Festplatz;Frühschoppen und Preisverleihung
2026-06-27;18:00;Sommerschießen;Schießstand;Pokalwettbewerb Druckluft
2026-07-11;15:00;Familiengrillen;Vereinsheim;Sommerfest für Mitglieder und Familien
2026-08-08;09:00;Kreismeisterschaft;Schießstand;KK Gewehr 50m / 100m
2026-09-05;14:00;Herbstpokal;Schießstand;Einzelwettbewerb alle Disziplinen
2026-09-19;18:00;Oktoberfest;Vereinsheim;Gemütlicher Abend mit bayerischem Buffet
2026-10-10;10:00;Kartoffelfeuer;Vereinsgelände;Traditionelles Kartoffelbraten
2026-10-24;14:00;Vereinsmeisterschaft;Schießstand;Endausscheidung Vereinsmeister 2026
2026-11-07;18:00;Grünkohlwanderung;Treffpunkt Vereinsheim;Wanderung mit anschließendem Grünkohlessen
2026-11-21;15:00;Adventsbasar;Vereinsheim;Basteln, Glühwein und Waffeln
2026-12-05;18:00;Nikolausschießen;Schießstand;Spaßwettbewerb mit Preisen
2026-12-19;18:00;Weihnachtsfeier;Vereinsheim;Jahresabschluss mit Ehrungen
